|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tüketici Fiyat Endeksi (2003=100) Aylık Değişim (%)|Ölçüm bazında|2005|0.55|0.02|0.26|0.71|0.92|0.1|-0.57|0.85|1.02|1.79|1.4|0.42|
||2006|0.75|0.22|0.27|1.34|1.88|0.34|0.85|-0.44|1.29|1.27|1.29|0.23|
||2007|1.0|0.43|0.92|1.21|0.5|-0.24|-0.73|0.02|1.03|1.81|1.95|0.22|
||2008|0.8|1.29|0.96|1.68|1.49|-0.36|0.58|-0.24|0.45|2.6|0.83|-0.41|
||2009|0.29|-0.34|1.1|0.02|0.64|0.11|0.25|-0.3|0.39|2.41|1.27|0.53|
||2010|1.85|1.45|0.58|0.6|-0.36|-0.56|-0.48|0.4|1.23|1.83|0.03|-0.3|
||2011|0.41|0.73|0.42|0.87|2.42|-1.43|-0.41|0.73|0.75|3.27|1.73|0.58|
||2012|0.56|0.56|0.41|1.52|-0.21|-0.9|-0.23|0.56|1.03|1.96|0.38|0.38|
||2013|1.65|0.3|0.66|0.42|0.15|0.76|0.31|-0.1|0.77|1.8|0.01|0.46|
||2014|1.98|0.43|1.13|1.34|0.4|0.31|0.45|0.09|0.14|1.9|0.18|-0.44|
||2015|1.1|0.71|1.19|1.63|0.56|-0.51|0.09|0.4|0.89|1.55|0.67|0.21|
||2016|1.82|-0.02|-0.04|0.78|0.58|0.47|1.16|-0.29|0.18|1.44|0.52|1.64|
||2017|2.46|0.81|1.02|1.31|0.45|-0.27|0.15|0.52|0.65|2.08|1.49|0.69|
||2018|1.02|0.73|0.99|1.87|1.62|2.61|0.55|2.3|6.3|2.67|-1.44|-0.4|
||2019|1.06|0.16|1.03|1.69|0.95|0.03|1.36|0.86|0.99|2.0|0.38|0.74|
||2020|1.35|0.35|0.57|0.85|1.36|1.13|0.58|0.86|0.97|2.13|2.3|1.25|
||2021|1.68|0.91|1.08|1.68|0.89|1.94|1.8|1.12|1.25|2.39|3.51|13.58|
||2022|11.1|4.81|5.46|7.25|2.98|4.95|2.37|1.46|3.08|3.54|2.88|1.18|
||2023|6.65|3.15|2.29|2.39|0.04|3.92|9.49||||||
|||||||||||||||
